DATE,TIME,O,H,L,C,V
2024.01.30,16:44:20,1.08414,1.08414,1.08413,1.08414,9
2024.01.30,16:44:25,1.08414,1.08414,1.0841,1.0841,13
2024.01.30,16:44:30,1.08411,1.08411,1.0841,1.0841,5
2024.01.30,16:44:35,1.08408,1.0841,1.08408,1.0841,7
2024.01.30,16:44:40,1.08408,1.08408,1.08405,1.08405,2
2024.01.30,16:44:45,1.08406,1.08409,1.08406,1.08408,8
2024.01.30,16:44:50,1.08407,1.08408,1.08407,1.08408,2
2024.01.30,16:44:55,1.08404,1.08407,1.08404,1.08407,5
2024.01.30,16:45:00,1.08407,1.08414,1.08407,1.08412,9
2024.01.30,16:45:05,1.08413,1.08414,1.08406,1.08406,12
2024.01.30,16:45:10,1.08404,1.08407,1.08404,1.08407,9
2024.01.30,16:45:15,1.08404,1.08406,1.08402,1.08404,11
2024.01.30,16:45:20,1.08404,1.08404,1.08402,1.08402,7
2024.01.30,16:45:25,1.08404,1.08407,1.08404,1.08405,13
2024.01.30,16:45:30,1.08404,1.08405,1.08403,1.08403,9
2024.01.30,16:45:35,1.08401,1.08404,1.08401,1.08402,9
2024.01.30,16:45:40,1.08406,1.08407,1.08405,1.08406,5
2024.01.30,16:45:45,1.08406,1.08406,1.08402,1.08402,10
2024.01.30,16:45:50,1.08399,1.08399,1.08393,1.08394,17
2024.01.30,16:45:55,1.08393,1.084,1.08393,1.084,7
2024.01.30,16:46:00,1.084,1.084,1.08396,1.08398,16
2024.01.30,16:46:05,1.08398,1.08398,1.08392,1.08392,10
2024.01.30,16:46:10,1.08394,1.08394,1.0839,1.08392,7
2024.01.30,16:46:15,1.08393,1.08403,1.08393,1.08403,12
2024.01.30,16:46:20,1.08402,1.08403,1.08399,1.08402,13
2024.01.30,16:46:25,1.08403,1.08406,1.08403,1.08406,3
2024.01.30,16:46:30,1.08408,1.08408,1.08406,1.08408,8
2024.01.30,16:46:35,1.08406,1.08408,1.08404,1.08406,9
2024.01.30,16:46:40,1.08406,1.08407,1.08405,1.08406,10
2024.01.30,16:46:45,1.08408,1.0841,1.08408,1.08409,6
2024.01.30,16:46:50,1.08407,1.08409,1.08407,1.08409,5
2024.01.30,16:46:55,1.08408,1.08414,1.08408,1.08414,7
2024.01.30,16:47:00,1.08414,1.08416,1.08412,1.08416,12
2024.01.30,16:47:05,1.08415,1.08416,1.08414,1.08414,7
2024.01.30,16:47:10,1.08414,1.08414,1.08411,1.08413,9
2024.01.30,16:47:15,1.08414,1.08416,1.08402,1.08408,18
2024.01.30,16:47:20,1.08408,1.0841,1.08407,1.0841,5
2024.01.30,16:47:30,1.08408,1.08408,1.08407,1.08408,5
2024.01.30,16:47:35,1.08407,1.08408,1.08404,1.08404,7
2024.01.30,16:47:40,1.08402,1.08404,1.08402,1.08404,4
2024.01.30,16:47:45,1.08404,1.08404,1.08396,1.08396,12
2024.01.30,16:47:50,1.08393,1.08396,1.08392,1.08394,2
2024.01.30,16:47:55,1.08394,1.08394,1.08388,1.08388,12
2024.01.30,16:48:00,1.08388,1.08389,1.08384,1.08389,11
2024.01.30,16:48:05,1.08388,1.08396,1.08388,1.08392,13
2024.01.30,16:48:10,1.08394,1.08394,1.08393,1.08393,2
2024.01.30,16:48:15,1.08392,1.08392,1.08392,1.08392,1
2024.01.30,16:48:20,1.08392,1.08392,1.08391,1.08392,7
2024.01.30,16:48:25,1.08391,1.08392,1.0839,1.08392,6
2024.01.30,16:48:30,1.08394,1.08396,1.08393,1.08394,4
2024.01.30,16:48:35,1.08393,1.08394,1.0839,1.08392,8
2024.01.30,16:48:40,1.08392,1.08398,1.08392,1.08398,10
2024.01.30,16:48:45,1.08396,1.08398,1.08393,1.08396,7
2024.01.30,16:48:50,1.08397,1.08399,1.08397,1.08398,4
2024.01.30,16:48:55,1.08396,1.08396,1.08394,1.08394,7
2024.01.30,16:49:00,1.08394,1.08394,1.08393,1.08393,2
2024.01.30,16:49:05,1.0839,1.08393,1.0839,1.08392,10
2024.01.30,16:49:10,1.0839,1.0839,1.08387,1.08388,14
