DATE,TIME,O,H,L,C,V
2003.12.15,00:00,1.2294,1.2435,1.21615,1.2378,5
2003.12.22,00:00,1.2378,1.2453,1.2378,1.243,5
2003.12.29,00:00,1.243,1.2593,1.243,1.2593,8
2004.01.05,00:00,1.2593,1.2841,1.2585,1.2841,10
2004.01.12,00:00,1.2841,1.2841,1.2373,1.2401,10
2004.01.19,00:00,1.2401,1.271,1.2352,1.2588,10
2004.01.26,00:00,1.2588,1.2639,1.2414,1.2475,10
2004.02.02,00:00,1.2475,1.2702,1.2427,1.2701,10
2004.02.09,00:00,1.2701,1.2826,1.26275,1.2742,10
2004.02.16,00:00,1.2742,1.2837,1.2527,1.2527,10
2004.02.23,00:00,1.2527,1.2685,1.2433,1.2494,10
2004.03.01,00:00,1.2494,1.2494,1.2192,1.2375,10
2004.03.08,00:00,1.2375,1.2408,1.2222,1.2222,10
2004.03.15,00:00,1.2222,1.239,1.2222,1.2276,10
2004.03.22,00:00,1.2276,1.2333,1.2127,1.2127,10
2004.03.29,00:00,1.2127,1.2363,1.2121,1.2136,10
2004.04.05,00:00,1.2136,1.2173,1.2018,1.2093,10
2004.04.12,00:00,1.2093,1.2093,1.1946,1.1994,10
2004.04.19,00:00,1.1994,1.2024,1.1842,1.1847,10
2004.04.26,00:00,1.1847,1.1981,1.1823,1.1981,10
2004.05.03,00:00,1.1981,1.2175,1.1881,1.1881,10
2004.05.10,00:00,1.1881,1.1901,1.182,1.1887,10
2004.05.17,00:00,1.1887,1.2027,1.1887,1.1979,10
2004.05.24,00:00,1.1979,1.2263,1.1979,1.2221,10
2004.05.31,00:00,1.2221,1.228,1.21875,1.228,10
2004.06.07,00:00,1.228,1.2321,1.2005,1.2005,10
2004.06.14,00:00,1.2005,1.2162,1.2005,1.2137,10
2004.06.21,00:00,1.2137,1.2177,1.2093,1.2177,10
2004.06.28,00:00,1.2177,1.2316,1.2081,1.2316,10
2004.07.05,00:00,1.2316,1.24135,1.2283,1.24135,10
2004.07.12,00:00,1.24135,1.2451,1.2327,1.2451,10
2004.07.19,00:00,1.2451,1.2451,1.209,1.209,10
2004.07.26,00:00,1.209,1.2142,1.20195,1.20195,10
2004.08.02,00:00,1.20195,1.228,1.20195,1.228,10
2004.08.09,00:00,1.228,1.2374,1.2219,1.2374,10
2004.08.16,00:00,1.2374,1.2374,1.232,1.232,10
2004.08.23,00:00,1.232,1.232,1.2013,1.2013,10
2004.08.30,00:00,1.2013,1.2189,1.2013,1.2059,10
2004.09.06,00:00,1.2059,1.2263,1.2058,1.2263,10
2004.09.13,00:00,1.2263,1.22665,1.21505,1.2188,10
2004.09.20,00:00,1.2188,1.23361,1.21765,1.2275,10
2004.09.27,00:00,1.2275,1.2434,1.2275,1.2416,10
2004.10.04,00:00,1.2416,1.2416,1.22845,1.2409,10
2004.10.11,00:00,1.2409,1.2467,1.23278,1.2467,10
2004.10.18,00:00,1.2467,1.2683,1.2467,1.2683,10
2004.10.25,00:00,1.2683,1.28067,1.2683,1.2744,8
2004.11.01,00:00,1.2744,1.2966,1.2727,1.2966,10
2004.11.08,00:00,1.2966,1.2977,1.2894,1.2977,10
2004.11.15,00:00,1.2977,1.30325,1.2945,1.3026,10
2004.11.22,00:00,1.3026,1.3295,1.3026,1.3295,10
2004.11.29,00:00,1.3295,1.3457,1.327,1.3457,10
2004.12.06,00:00,1.3457,1.3457,1.3226,1.3226,10
2004.12.13,00:00,1.3226,1.34054,1.32125,1.3287,10
2004.12.20,00:00,1.3287,1.35315,1.3287,1.35315,10
2004.12.27,00:00,1.35315,1.3642,1.35315,1.3568,10
2005.01.03,00:00,1.3568,1.35815,1.30248,1.3054,195816
2005.01.10,00:00,1.3054,1.32935,1.3049,1.3111,191281
2005.01.17,00:00,1.3111,1.3128,1.29198,1.3037,178669
2005.01.24,00:00,1.3037,1.31238,1.29438,1.3037,180706
2005.01.31,00:00,1.3037,1.30938,1.275,1.275,169584
2005.02.07,00:00,1.275,1.2905,1.27332,1.2866,160761
2005.02.14,00:00,1.2866,1.30884,1.2866,1.3072,162551
2005.02.21,00:00,1.3072,1.32732,1.30322,1.32453,158023
2005.02.28,00:00,1.32453,1.3279,1.30894,1.3236,161882
2005.03.07,00:00,1.3236,1.34806,1.31804,1.3457,161881
2005.03.14,00:00,1.3457,1.3478,1.32652,1.3325,161432
2005.03.21,00:00,1.3325,1.33275,1.3142,1.31572,33031
2005.03.21,01:00,1.31572,1.32231,1.29296,1.29575,107123
2005.03.28,00:00,1.29575,1.30582,1.2858,1.2913,155391
2005.04.04,00:00,1.2913,1.29392,1.28012,1.2933,164973
2005.04.11,00:00,1.2933,1.30157,1.27666,1.2922,169171
2005.04.18,00:00,1.2922,1.3125,1.28776,1.3064,173424
2005.04.25,00:00,1.3064,1.30775,1.2854,1.2872,173551
2005.05.02,00:00,1.2872,1.29892,1.2811,1.2819,140618
2005.05.09,00:00,1.2819,1.29122,1.261,1.2633,143789
2005.05.16,00:00,1.2633,1.2691,1.2536,1.2557,145476
2005.05.23,00:00,1.2557,1.26272,1.2496,1.2585,157907
2005.05.30,00:00,1.2585,1.2585,1.2161,1.2236,151137
2005.06.06,00:00,1.2236,1.23526,1.2108,1.21205,167554
2005.06.13,00:00,1.21205,1.2289,1.20172,1.228,185572
2005.06.20,00:00,1.228,1.2285,1.1983,1.209,186499
2005.06.27,00:00,1.209,1.21858,1.1939,1.1958,198011
2005.07.04,00:00,1.1958,1.20422,1.18692,1.1966,169885
2005.07.11,00:00,1.1966,1.2255,1.1958,1.2035,198898
2005.07.18,00:00,1.2035,1.2255,1.19538,1.2065,192223
2005.07.25,00:00,1.2065,1.216,1.1965,1.2122,184488
2005.08.01,00:00,1.2122,1.24028,1.2119,1.2359,198489
2005.08.08,00:00,1.2359,1.24866,1.2316,1.244,195996
2005.08.15,00:00,1.244,1.2463,1.21258,1.2153,173705
2005.08.22,00:00,1.2153,1.23424,1.2153,1.22907,175378
2005.08.29,00:00,1.22907,1.25892,1.21718,1.2531,178707
2005.09.05,00:00,1.2531,1.25846,1.23766,1.2405,179971
2005.09.12,00:00,1.2405,1.2426,1.21935,1.2236,184724
2005.09.19,00:00,1.2236,1.2269,1.2039,1.2039,188825
2005.09.26,00:00,1.2039,1.20902,1.19796,1.2027,191449
2005.10.03,00:00,1.2027,1.22038,1.1902,1.2125,180451
2005.10.10,00:00,1.2125,1.21532,1.19148,1.2081,183308
2005.10.17,00:00,1.2081,1.2121,1.18756,1.195,188035
2005.10.24,00:00,1.195,1.21732,1.19235,1.20689,186151
2005.10.31,00:00,1.20689,1.20892,1.18035,1.18115,181694
2005.11.07,00:00,1.18115,1.19776,1.1671,1.1734,179565
2005.11.14,00:00,1.1734,1.17952,1.16402,1.1774,187460
2005.11.21,00:00,1.1774,1.1866,1.16858,1.1724,161916
2005.11.28,00:00,1.1724,1.1902,1.16608,1.1718,173643
2005.12.05,00:00,1.1718,1.18488,1.16892,1.1812,172577
2005.12.12,00:00,1.1812,1.20615,1.1777,1.2013,185367
2005.12.19,00:00,1.2013,1.2039,1.18011,1.1868,157744
2005.12.26,00:00,1.1868,1.19321,1.17785,1.1848,140316
2006.01.02,00:00,1.1848,1.21808,1.18015,1.2152,149223
2006.01.09,00:00,1.2152,1.21632,1.20072,1.2143,171470
2006.01.16,00:00,1.2143,1.2175,1.20408,1.2134,71159
2006.01.23,00:00,1.2134,1.23232,1.20876,1.2094,62164
2006.01.30,00:00,1.2094,1.2188,1.19685,1.2024,52661
2006.02.06,00:00,1.2024,1.2047,1.18936,1.1906,49082
2006.02.13,00:00,1.1906,1.19542,1.18502,1.1939,46009
2006.02.20,00:00,1.1939,1.1974,1.18622,1.18796,42987
2006.02.27,00:00,1.18796,1.20528,1.1827,1.20443,49356
2006.03.06,00:00,1.20443,1.2094,1.18614,1.1909,49544
2006.03.13,00:00,1.1909,1.22066,1.1907,1.2191,50916
2006.03.20,00:00,1.2191,1.21962,1.19518,1.2034,50663
2006.03.27,00:00,1.2034,1.2175,1.19808,1.2118,51715
2006.04.03,00:00,1.2118,1.2332,1.20342,1.2093,61274
2006.04.10,00:00,1.2093,1.2169,1.20668,1.211,41214
2006.04.17,00:00,1.211,1.2394,1.211,1.234,55516
2006.04.24,00:00,1.234,1.2641,1.23342,1.263,56100
2006.05.01,00:00,1.263,1.2766,1.2557,1.2725,56808
2006.05.08,00:00,1.2725,1.29578,1.26622,1.29265,81012
2006.05.15,00:00,1.29265,1.29697,1.26944,1.2778,105051
2006.05.22,00:00,1.2778,1.28908,1.26946,1.27359,99402
2006.05.29,00:00,1.27359,1.29404,1.27179,1.29187,84406
2006.06.05,00:00,1.29187,1.2979,1.25968,1.26387,86217
2006.06.12,00:00,1.26387,1.2672,1.25308,1.26425,80716
2006.06.19,00:00,1.26425,1.26788,1.2479,1.25065,68479
2006.06.26,00:00,1.25065,1.27943,1.2504,1.2791,76102
2006.07.03,00:00,1.2791,1.28676,1.27078,1.28105,67393
2006.07.10,00:00,1.28105,1.28214,1.26266,1.26495,68881
2006.07.17,00:00,1.26495,1.26965,1.24576,1.2695,73317
2006.07.24,00:00,1.2695,1.27716,1.2559,1.2757,72809
2006.07.31,00:00,1.2757,1.29085,1.2721,1.28745,71555
2006.08.07,00:00,1.28745,1.29128,1.27168,1.27188,70554
2006.08.14,00:00,1.27188,1.28876,1.26946,1.28245,60495
2006.08.21,00:00,1.28245,1.2938,1.27268,1.27525,65028
2006.08.28,00:00,1.27525,1.28798,1.27512,1.2836,63390
2006.09.04,00:00,1.2836,1.2874,1.2652,1.26732,62394
2006.09.11,00:00,1.26732,1.27527,1.26316,1.2664,64039
2006.09.18,00:00,1.2664,1.28304,1.26305,1.27835,65353
2006.09.25,00:00,1.27835,1.28196,1.26394,1.26745,80638
2006.10.02,00:00,1.26745,1.27872,1.2573,1.26009,59299
2006.10.09,00:00,1.26009,1.26144,1.2483,1.25125,87354
2006.10.16,00:00,1.25125,1.26416,1.249,1.26179,65219
2006.10.23,00:00,1.26179,1.275,1.25252,1.27409,72675
2006.10.30,00:00,1.27409,1.2799,1.2679,1.27165,70263
2006.11.06,00:00,1.27165,1.29008,1.26902,1.28406,63794
2006.11.13,00:00,1.28406,1.2878,1.2763,1.28275,86036
2006.11.20,00:00,1.28275,1.311,1.27988,1.30915,66360
2006.11.27,00:00,1.30915,1.33478,1.30856,1.33385,109644
2006.12.04,00:00,1.33385,1.3367,1.31926,1.32025,105785
2006.12.11,00:00,1.32025,1.32906,1.30606,1.30805,127676
2006.12.18,00:00,1.30805,1.3246,1.3053,1.3128,138965
2006.12.25,00:00,1.3128,1.32055,1.30905,1.31977,86427
2007.01.01,00:00,1.31977,1.32964,1.2982,1.30025,120021
2007.01.08,00:00,1.30025,1.30357,1.28666,1.29235,128629
2007.01.15,00:00,1.29235,1.30014,1.2897,1.29571,137581
2007.01.22,00:00,1.29571,1.30444,1.28719,1.29172,155467
2007.01.29,00:00,1.29172,1.30648,1.28996,1.29616,139356
2007.02.05,00:00,1.29616,1.30442,1.29139,1.30085,123307
2007.02.12,00:00,1.30085,1.31728,1.29417,1.31382,134825
2007.02.19,00:00,1.31382,1.31896,1.30812,1.31665,87574
2007.02.26,00:00,1.31665,1.3259,1.31436,1.3192,96677
2007.03.05,00:00,1.3192,1.32125,1.30725,1.31155,119344
2007.03.12,00:00,1.31155,1.33397,1.3109,1.33179,76114
2007.03.19,00:00,1.33179,1.34112,1.32717,1.32835,70495
2007.03.26,00:00,1.32835,1.33994,1.32541,1.33545,114749
2007.04.02,00:00,1.33545,1.34405,1.33197,1.33795,87184
2007.04.09,00:00,1.33795,1.35538,1.33408,1.35275,92919
2007.04.16,00:00,1.35275,1.36377,1.35258,1.35903,101997
2007.04.23,00:00,1.35903,1.36808,1.3542,1.36525,105549
2007.04.30,00:00,1.36525,1.36782,1.35359,1.3591,122363
2007.05.07,00:00,1.3591,1.36277,1.34615,1.35245,121133
2007.05.14,00:00,1.35245,1.36092,1.34652,1.35084,116844
