DATE,TIME,O,H,L,C,V
2022.02.01,04:00,1.1226,1.12282,1.12236,1.1224,280
2022.02.01,04:15,1.1224,1.12244,1.1221,1.12242,369
2022.02.01,04:30,1.12242,1.12252,1.12216,1.12251,358
2022.02.01,04:45,1.12251,1.1227,1.12236,1.12266,215
2022.02.01,05:00,1.12266,1.12285,1.1225,1.12256,288
2022.02.01,05:15,1.12256,1.12267,1.12238,1.12264,198
2022.02.01,05:30,1.12264,1.1228,1.12256,1.12274,156
2022.02.01,05:45,1.12274,1.1228,1.12261,1.12272,204
2022.02.01,06:00,1.12272,1.12324,1.12272,1.12324,222
2022.02.01,06:15,1.12324,1.12329,1.1229,1.12326,195
2022.02.01,06:30,1.12326,1.12334,1.12312,1.12312,190
2022.02.01,06:45,1.12312,1.12339,1.12312,1.12314,164
2022.02.01,07:00,1.12314,1.12323,1.12261,1.12296,801
2022.02.01,07:15,1.12296,1.12339,1.12285,1.12332,303
2022.02.01,07:30,1.12332,1.12378,1.12332,1.12372,389
2022.02.01,07:45,1.12372,1.12388,1.12367,1.12384,247
2022.02.01,08:00,1.12384,1.12427,1.12377,1.12424,209
2022.02.01,08:15,1.12424,1.12449,1.12414,1.12432,267
2022.02.01,08:30,1.12432,1.12445,1.12412,1.12432,175
2022.02.01,08:45,1.12432,1.12444,1.12419,1.12436,149
2022.02.01,09:00,1.12436,1.12453,1.12414,1.12428,247
2022.02.01,09:15,1.12428,1.12452,1.12395,1.12402,276
2022.02.01,09:30,1.12402,1.12426,1.1239,1.12391,224
2022.02.01,09:45,1.12391,1.12396,1.12353,1.1238,277
2022.02.01,10:00,1.1238,1.1239,1.12359,1.12362,194
2022.02.01,10:15,1.12362,1.12384,1.12344,1.12348,294
2022.02.01,10:30,1.12348,1.12437,1.12348,1.12416,764
2022.02.01,10:45,1.12416,1.12424,1.12366,1.12417,681
2022.02.01,11:00,1.12417,1.12528,1.12413,1.12456,810
2022.02.01,11:15,1.12456,1.12682,1.12448,1.12664,1427
2022.02.01,11:30,1.12664,1.12696,1.12573,1.12589,1546
2022.02.01,11:45,1.12589,1.1259,1.12522,1.12556,1015
2022.02.01,12:00,1.12556,1.12615,1.12556,1.12582,1000
2022.02.01,12:15,1.12582,1.12586,1.12519,1.12574,911
2022.02.01,12:30,1.12574,1.1261,1.12536,1.12564,1488
2022.02.01,12:45,1.12564,1.12674,1.12549,1.12665,1038
2022.02.01,13:00,1.12665,1.1267,1.12558,1.1256,1342
2022.02.01,13:15,1.1256,1.12642,1.1256,1.12612,1003
2022.02.01,13:30,1.12612,1.12616,1.12566,1.12586,805
2022.02.01,13:45,1.12586,1.1267,1.12584,1.1266,791
2022.02.01,14:00,1.1266,1.12674,1.1257,1.12575,657
2022.02.01,14:15,1.12575,1.12632,1.12554,1.12622,849
2022.02.01,14:30,1.12622,1.12627,1.12593,1.1261,1100
2022.02.01,14:45,1.1261,1.12759,1.1261,1.12746,1008
2022.02.01,15:00,1.12746,1.12776,1.127,1.12776,994
2022.02.01,15:15,1.12776,1.12789,1.12713,1.12732,865
2022.02.01,15:30,1.12732,1.12738,1.12688,1.12714,818
2022.02.01,15:45,1.12714,1.12735,1.12669,1.12688,728
2022.02.01,16:00,1.12688,1.12696,1.12634,1.12636,666
2022.02.01,16:15,1.12636,1.12655,1.12576,1.12614,1185
2022.02.01,16:30,1.12614,1.12628,1.12576,1.12599,1051
2022.02.01,16:45,1.12599,1.12606,1.1256,1.12588,936
2022.02.01,17:00,1.12588,1.12656,1.12534,1.12634,1558
2022.02.01,17:15,1.12634,1.12684,1.12612,1.12658,1303
2022.02.01,17:30,1.12658,1.12708,1.12641,1.12678,1183
2022.02.01,17:45,1.12678,1.12744,1.12666,1.12698,1121
2022.02.01,18:00,1.12698,1.12738,1.12632,1.1265,1490
2022.02.01,18:15,1.1265,1.12666,1.126,1.12636,1878
2022.02.01,18:30,1.12636,1.1266,1.12512,1.12624,3925
2022.02.01,18:45,1.12624,1.12642,1.12546,1.12588,1777
2022.02.01,19:00,1.12588,1.12617,1.12467,1.12472,1545
2022.02.01,19:15,1.12472,1.12622,1.12454,1.12475,2227
2022.02.01,19:30,1.12475,1.12542,1.12459,1.12463,1717
2022.02.01,19:45,1.12463,1.12519,1.1243,1.12516,1171
2022.02.01,20:00,1.12516,1.12534,1.12363,1.12399,1099
2022.02.01,20:15,1.12399,1.1242,1.12344,1.12392,1077
2022.02.01,20:30,1.12392,1.12442,1.12382,1.12417,716
2022.02.01,20:45,1.12417,1.12494,1.12417,1.12474,524
2022.02.01,21:00,1.12474,1.12474,1.1236,1.12374,861
2022.02.01,21:15,1.12374,1.12457,1.12374,1.1245,585
2022.02.01,21:30,1.1245,1.12498,1.1245,1.1249,448
2022.02.01,21:45,1.1249,1.12502,1.12442,1.12452,393
2022.02.01,22:00,1.12452,1.125,1.12431,1.12496,481
