DATE,TIME,O,H,L,C,V
2024.01.22,23:22:15,1.08848,1.08856,1.08848,1.08854,17
2024.01.22,23:22:30,1.08856,1.08856,1.08849,1.08849,8
2024.01.22,23:22:45,1.0885,1.08854,1.08844,1.08852,28
2024.01.22,23:23:00,1.08852,1.08858,1.08852,1.08856,11
2024.01.22,23:23:15,1.08858,1.08858,1.08854,1.08854,7
2024.01.22,23:23:30,1.08854,1.08856,1.08854,1.08854,16
2024.01.22,23:23:45,1.08854,1.08854,1.0885,1.08852,22
2024.01.22,23:24:00,1.08852,1.08854,1.08848,1.08849,33
2024.01.22,23:24:15,1.0885,1.0885,1.08847,1.08847,20
2024.01.22,23:24:30,1.08844,1.08846,1.08844,1.08844,11
2024.01.22,23:24:45,1.08846,1.08848,1.0884,1.08842,30
2024.01.22,23:25:00,1.08842,1.08845,1.0884,1.08845,23
2024.01.22,23:25:15,1.08848,1.08854,1.08848,1.08854,15
2024.01.22,23:25:30,1.08858,1.08858,1.08854,1.08856,14
2024.01.22,23:25:45,1.08858,1.08858,1.08854,1.08856,10
2024.01.22,23:26:00,1.08856,1.08856,1.08854,1.08856,5
2024.01.22,23:26:15,1.0886,1.08862,1.08859,1.0886,14
2024.01.22,23:26:30,1.08858,1.0886,1.08858,1.0886,9
2024.01.22,23:26:45,1.08858,1.08862,1.08858,1.08859,17
2024.01.22,23:27:00,1.08859,1.08859,1.08849,1.0885,16
2024.01.22,23:27:15,1.08851,1.08851,1.0885,1.0885,2
2024.01.22,23:27:30,1.08851,1.08851,1.08844,1.08848,17
2024.01.22,23:27:45,1.08846,1.0885,1.08844,1.0885,12
2024.01.22,23:28:00,1.0885,1.0885,1.08848,1.08849,7
2024.01.22,23:28:15,1.08851,1.08851,1.0885,1.0885,6
2024.01.22,23:28:30,1.0885,1.08851,1.08849,1.08849,5
2024.01.22,23:28:45,1.0885,1.08852,1.0885,1.08852,4
2024.01.22,23:29:00,1.08852,1.08852,1.0885,1.0885,5
2024.01.22,23:29:15,1.08849,1.08849,1.08846,1.08846,16
2024.01.22,23:29:30,1.08846,1.08846,1.08844,1.08845,17
2024.01.22,23:29:45,1.08844,1.08848,1.08844,1.08848,28
2024.01.22,23:30:00,1.08848,1.0885,1.08846,1.08848,13
2024.01.22,23:30:15,1.08847,1.0885,1.08847,1.0885,10
2024.01.22,23:30:30,1.08851,1.08856,1.08848,1.08848,22
2024.01.22,23:30:45,1.08848,1.0885,1.08844,1.08844,17
2024.01.22,23:31:00,1.08844,1.08846,1.08838,1.08843,14
2024.01.22,23:31:15,1.08844,1.08845,1.08841,1.08845,9
2024.01.22,23:31:30,1.08844,1.08845,1.08844,1.08845,2
2024.01.22,23:31:45,1.08846,1.08846,1.08844,1.08844,4
2024.01.22,23:32:00,1.08844,1.08845,1.08842,1.08842,12
2024.01.22,23:32:15,1.08841,1.08842,1.08835,1.08835,16
2024.01.22,23:32:30,1.08833,1.08836,1.08833,1.08836,18
2024.01.22,23:32:45,1.08836,1.08838,1.08836,1.08837,18
2024.01.22,23:33:00,1.08837,1.0884,1.08837,1.08838,17
2024.01.22,23:33:15,1.08839,1.0884,1.08836,1.08836,12
2024.01.22,23:33:30,1.08833,1.08833,1.0883,1.08832,16
2024.01.22,23:33:45,1.08833,1.08834,1.0883,1.0883,33
2024.01.22,23:34:00,1.0883,1.08833,1.08828,1.0883,11
2024.01.22,23:34:15,1.0883,1.08834,1.0883,1.0883,22
2024.01.22,23:34:30,1.0883,1.08831,1.0883,1.08831,7
2024.01.22,23:35:00,1.08831,1.08831,1.08825,1.08825,3
2024.01.22,23:35:15,1.08822,1.08822,1.08812,1.08813,25
2024.01.22,23:35:30,1.08816,1.08816,1.08814,1.08814,5
2024.01.22,23:35:45,1.08814,1.08814,1.08804,1.08804,12
2024.01.22,23:36:00,1.08804,1.08808,1.08804,1.08808,14
2024.01.22,23:36:15,1.08805,1.08805,1.08804,1.08804,7
2024.01.22,23:36:30,1.08804,1.08811,1.08804,1.0881,15
2024.01.22,23:36:45,1.08812,1.08818,1.0881,1.08816,21
2024.01.22,23:37:00,1.08816,1.0882,1.08814,1.08814,16
2024.01.22,23:37:15,1.08814,1.08817,1.08814,1.08816,18
2024.01.22,23:37:30,1.08818,1.08818,1.08814,1.08816,8
2024.01.22,23:37:45,1.08816,1.08816,1.08816,1.08816,3
2024.01.22,23:38:00,1.08816,1.0882,1.08816,1.08818,6
2024.01.22,23:38:15,1.08819,1.08821,1.08818,1.08821,5
2024.01.22,23:38:30,1.08824,1.08825,1.08823,1.08824,10
2024.01.22,23:38:45,1.08824,1.08825,1.08823,1.08823,5
2024.01.22,23:39:00,1.08823,1.08825,1.08823,1.08825,5
2024.01.22,23:39:15,1.08824,1.08825,1.08824,1.08825,6
2024.01.22,23:39:30,1.08826,1.08826,1.08822,1.08824,13
2024.01.22,23:39:45,1.08824,1.08824,1.08824,1.08824,3
2024.01.22,23:40:00,1.08824,1.08827,1.08823,1.08824,11
2024.01.22,23:40:15,1.0882,1.0882,1.08819,1.08819,10
2024.01.22,23:40:30,1.08824,1.0883,1.08822,1.0883,13
2024.01.22,23:40:45,1.08827,1.08828,1.08825,1.08825,8
2024.01.22,23:41:00,1.08825,1.0883,1.08824,1.08827,17
2024.01.22,23:41:15,1.08828,1.08832,1.08828,1.0883,21
2024.01.22,23:41:45,1.08829,1.0883,1.08826,1.08826,12
2024.01.22,23:42:00,1.08826,1.0883,1.08826,1.0883,18
2024.01.22,23:42:15,1.0883,1.0883,1.08822,1.08822,11
2024.01.22,23:42:30,1.08822,1.08824,1.08819,1.08819,10
2024.01.22,23:42:45,1.0882,1.0882,1.08817,1.08818,16
2024.01.22,23:43:00,1.08818,1.08818,1.08814,1.08816,9
2024.01.22,23:43:15,1.08814,1.08816,1.08813,1.08814,8
2024.01.22,23:43:30,1.08816,1.08816,1.08814,1.08816,5
2024.01.22,23:43:45,1.08816,1.0882,1.08816,1.08819,8
2024.01.22,23:44:00,1.08819,1.08822,1.08816,1.0882,16
2024.01.22,23:44:15,1.08819,1.08826,1.08819,1.08825,5
2024.01.22,23:44:30,1.08826,1.08826,1.08822,1.08822,9
2024.01.22,23:44:45,1.08824,1.08824,1.08822,1.08822,5
2024.01.22,23:45:00,1.08822,1.08822,1.0882,1.0882,2
2024.01.22,23:45:15,1.08814,1.08814,1.08814,1.08814,11
2024.01.22,23:45:30,1.08814,1.08814,1.08814,1.08814,1
2024.01.22,23:45:45,1.08814,1.08819,1.08814,1.08818,6
2024.01.22,23:46:00,1.08818,1.08818,1.08814,1.08816,21
2024.01.22,23:46:15,1.08814,1.08816,1.08814,1.08816,10
2024.01.22,23:46:30,1.08816,1.08818,1.08814,1.08818,9
2024.01.22,23:46:45,1.08819,1.08824,1.08818,1.08823,8
2024.01.22,23:47:00,1.08823,1.08824,1.0882,1.08821,22
2024.01.22,23:47:15,1.08823,1.08823,1.08819,1.0882,8
2024.01.22,23:47:30,1.0882,1.08823,1.0882,1.08823,7
2024.01.22,23:47:45,1.0882,1.0882,1.08818,1.08818,3
2024.01.22,23:48:00,1.08818,1.0882,1.08818,1.0882,7
2024.01.22,23:48:15,1.0882,1.0882,1.08819,1.0882,8
2024.01.22,23:48:30,1.0882,1.08823,1.0882,1.08823,9
2024.01.22,23:48:45,1.08821,1.08823,1.0882,1.0882,4
2024.01.22,23:49:00,1.0882,1.0882,1.08817,1.0882,6
2024.01.22,23:49:30,1.08823,1.08824,1.08821,1.08821,4
2024.01.22,23:49:45,1.08823,1.08824,1.08823,1.08824,4
2024.01.22,23:50:00,1.08824,1.08829,1.08824,1.08827,9
2024.01.22,23:50:15,1.08828,1.08829,1.08824,1.08824,8
2024.01.22,23:50:45,1.08826,1.08826,1.08824,1.08824,6
2024.01.22,23:51:00,1.08824,1.08827,1.08823,1.08826,11
2024.01.22,23:51:15,1.08827,1.08828,1.08827,1.08828,2
2024.01.22,23:51:45,1.0883,1.0883,1.08828,1.0883,4
2024.01.22,23:52:00,1.0883,1.0883,1.08824,1.08824,12
2024.01.22,23:52:15,1.08824,1.08826,1.08824,1.08825,3
2024.01.22,23:52:30,1.08824,1.08825,1.08823,1.08824,6
2024.01.22,23:52:45,1.0883,1.0883,1.08826,1.08826,8
2024.01.22,23:53:00,1.08826,1.08826,1.08818,1.08818,8
2024.01.22,23:53:15,1.08818,1.08823,1.08818,1.0882,13
2024.01.22,23:53:30,1.08819,1.0882,1.08819,1.0882,4
2024.01.22,23:53:45,1.08819,1.0882,1.08816,1.08819,12
2024.01.22,23:54:00,1.08819,1.08822,1.08818,1.0882,10
2024.01.22,23:54:15,1.0882,1.08822,1.0882,1.0882,15
2024.01.22,23:54:30,1.0882,1.0882,1.08819,1.08819,5
2024.01.22,23:54:45,1.0882,1.0882,1.08819,1.0882,13
2024.01.22,23:55:00,1.0882,1.08822,1.08819,1.08819,10
2024.01.22,23:55:15,1.0882,1.0882,1.08819,1.08819,14
2024.01.22,23:55:30,1.0882,1.0882,1.0882,1.0882,5
2024.01.22,23:55:45,1.08819,1.0882,1.08819,1.08819,13
2024.01.22,23:56:00,1.08819,1.0883,1.08819,1.08825,28
2024.01.22,23:56:15,1.08826,1.08828,1.08824,1.08826,20
2024.01.22,23:56:30,1.08826,1.08829,1.08826,1.08827,25
2024.01.22,23:56:45,1.08824,1.08831,1.08824,1.0883,16
